Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,Volume_SMA,Target
2023-08-09,137.85000610351562,140.32000732421875,137.10000610351562,139.97000122070312,50017300,132.9650016784668,129.21960067749023,62.35515967739083,2.4295538880382708,1.5998657505381102,132.9650016784668,141.54499960210785,124.38500375482573,62687665.0,0.005150463718840648
2023-08-10,138.55999755859375,140.41000366210938,137.49000549316406,139.07000732421875,58928400,133.1780014038086,129.55760055541992,63.1288404434975,2.542596964992441,1.7884119934289764,133.1780014038086,142.10215082019013,124.25385198742707,62575540.0,-0.0010825194798443905
2023-08-11,138.41000366210938,139.3300018310547,137.0,137.39999389648438,42832100,133.364501953125,129.91420059204103,65.22980820338364,2.5902226892114584,1.948774132585473,133.364501953125,142.5722140991574,124.15678980709261,61997740.0,0.015605834874352187
2023-08-14,140.57000732421875,140.58999633789062,137.75,138.3000030517578,47148700,133.71500244140626,130.27020080566408,67.13602640348512,2.770326067964845,2.1130845196613475,133.71500244140626,143.47138660072858,123.95861828208392,61932665.0,-0.020630355012962953
2023-08-15,137.6699981689453,141.27999877929688,137.22999572753906,140.0500030517578,42781500,133.95700225830078,130.53860076904297,63.48443580691609,2.6485222746248667,2.2201720706540513,133.95700225830078,143.8599618186098,124.05404269799176,61323285.0,-0.018885675014943426
2023-08-16,135.07000732421875,137.27000427246094,135.00999450683594,137.19000244140625,41675900,133.94250259399413,130.7340008544922,59.021183905753865,2.3155026851110847,2.239238193545458,133.94250259399413,143.8376588715601,124.04734631642818,60680530.0,-0.008069975106044458
2023-08-17,133.97999572753906,136.08999633789062,133.52999877929688,135.4600067138672,48354100,134.14350204467775,130.88140075683594,52.5336257246076,1.9412499142741524,2.1796405376911974,134.14350204467775,143.85974104050578,124.42726304884971,60107205.0,-0.005672447612115605
2023-08-18,133.22000122070312,134.07000732421875,131.14999389648438,131.6199951171875,48469400,134.30450210571288,131.12120071411132,49.327890343523705,1.5652830828534547,2.056769046723649,134.30450210571288,143.83661956251512,124.77238464891064,55867425.0,0.01095925117625085
2023-08-21,134.67999267578125,135.19000244140625,132.7100067138672,133.74000549316406,41442500,134.59850158691407,131.32980056762696,54.43750775621788,1.3693507460160959,1.9192853865821384,134.59850158691407,143.77173231760787,125.42527085622028,55659995.0,-0.0031926989840012077
2023-08-22,134.25,135.64999389648438,133.72999572753906,135.0800018310547,32935100,134.85450134277343,131.54620056152345,59.85639592414621,1.1659359581636295,1.7686155008984368,134.85450134277343,143.6637076435572,126.04529504198968,55344915.0,0.009459994580714559
2023-08-23,135.52000427246094,135.9499969482422,133.22000122070312,134.5,42801000,135.22300186157227,131.72520065307617,60.58956368434768,1.0945892605477354,1.6338102528282967,135.22300186157227,143.44859313120307,126.99741059194146,54789460.0,-0.027154721211281152
